split,policy_name,policy_label,start_tax_transition_bucket,start_tax_transition_bucket_order,num_episodes,mean_start_days_to_tax_transition,median_start_days_to_tax_transition,mean_pct_original_sold_before_long_term,mean_pct_original_sold_at_or_after_long_term,pct_episodes_with_no_discretionary_sale,mean_final_after_tax_total_value,mean_excess_final_after_tax_value_vs_hold
test,sell_quarters_over_time,Naive active: sell quarters,61_to_90_days,2,157,74.45222929936305,75.0,100.0,0.0,0.0,0.41062076124968255,-0.08579704027768506
test,sell_quarters_over_time,Naive active: sell quarters,91_to_120_days,3,138,105.48550724637681,105.0,98.91304347826086,1.0869565217391304,0.0,0.4470984843098941,-0.10904347157546576
test,sell_quarters_over_time,Naive active: sell quarters,121_to_180_days,4,187,148.42245989304814,147.0,100.0,0.0,0.0,0.39590567539347016,-0.0861147195482668
test,sell_quarters_over_time,Naive active: sell quarters,over_180_days,5,593,269.6779089376054,272.0,100.0,0.0,0.0,0.29800908109317653,-0.15276881885374147
test,random_policy,Random benchmark,0_to_30_days,0,299,11.117056856187292,9.0,78.09364548494983,21.906354515050168,5.351170568561873,0.5378217005858269,-0.05078607177786247
test,random_policy,Random benchmark,31_to_60_days,1,145,43.92413793103448,44.0,100.0,0.0,0.0,0.45109423776015933,-0.08664902513669681
test,random_policy,Random benchmark,61_to_90_days,2,157,74.45222929936305,75.0,100.0,0.0,0.0,0.4104797889044568,-0.08593801262291081
test,random_policy,Random benchmark,91_to_120_days,3,138,105.48550724637681,105.0,99.81884057971014,0.18115942028985507,0.0,0.4440796305513814,-0.11206232533397843
test,random_policy,Random benchmark,121_to_180_days,4,187,148.42245989304814,147.0,100.0,0.0,0.0,0.3957157402009574,-0.0863046547407795
test,random_policy,Random benchmark,over_180_days,5,593,269.6779089376054,272.0,100.0,0.0,0.0,0.29759593564066184,-0.15318196430625616
