split,comparison_scope,feature,feature_group,n_sell_or_trigger_steps,n_hold_steps,mean_on_sell_or_trigger_steps,mean_on_hold_steps,median_on_sell_or_trigger_steps,median_on_hold_steps,difference_in_means,standardized_difference
validation,sell_steps_vs_hold_steps,macd,technical_indicator,1489,111072,0.2688810452239727,0.24285125109534927,0.1668256868671316,0.24986361627577408,0.02602979412862344,0.022240462789299534
validation,sell_steps_vs_hold_steps,macd_hist,technical_indicator,1489,111072,0.2305440120360913,0.2954396598348456,0.19231098092194954,0.3084259932913749,-0.06489564779875431,-0.056476923180269166
validation,sell_steps_vs_hold_steps,PC7,pca_feature,1489,111072,-0.3642548335328104,0.12670515387350853,-0.49340706049583855,0.05220905455233357,-0.49095998740631897,-0.16042836046228925
validation,sell_steps_vs_hold_steps,WTI_Close,macro_market,1489,111072,-0.5911275134274746,-0.007071732440235518,-0.6486992558775323,0.06130911159310018,-0.5840557809872391,-0.5000597662492375
validation,sell_steps_vs_hold_steps,sma_50,technical_indicator,1489,111072,0.6816839252551955,0.6539720245527875,0.8846287564724367,0.8081816966143928,0.027711900702408032,0.02026884858972584
validation,sell_steps_vs_hold_steps,rsi_14,technical_indicator,1489,111072,0.2385028219575523,0.1393429453251207,0.18970532433022183,0.13776013684307836,0.09915987663243159,0.0825064573673148
validation,sell_steps_vs_hold_steps,PC5,pca_feature,1489,111072,0.20497041745401007,0.1034775984210158,0.7879542231926212,-0.05314447117239652,0.10149281903299427,0.02088662489429157
validation,sell_steps_vs_hold_steps,PC4,pca_feature,1489,111072,-1.6900392860124267,-0.31838520668871584,-1.2986390079568841,-0.04000944143424709,-1.3716540793237109,-0.29119938922951866
validation,sell_steps_vs_hold_steps,ema_50,technical_indicator,1489,111072,0.711650527297272,0.6647848455627783,0.8957529199440776,0.8235064612459422,0.04686568173449368,0.03395260666935465
validation,sell_steps_vs_hold_steps,Gold_Close,macro_market,1489,111072,-0.24913904551765081,0.02932111835968363,0.07555909474155079,0.012704372204472464,-0.27846016387733447,-0.2235123378262132
validation,sell_steps_vs_hold_steps,bb_upper,technical_indicator,1489,111072,0.6486533160439154,0.6116931054843234,0.7790439907786518,0.6945060626332294,0.03696021055959198,0.02821021617655279
validation,sell_steps_vs_hold_steps,USD_JPN_Close,macro_market,1489,111072,-0.09150226116242711,-0.0011614542343312512,0.1487095797407193,0.07608946395360368,-0.09034080692809586,-0.06618633296127599
validation,sell_steps_vs_hold_steps,PC1,pca_feature,1489,111072,4.565144172536317,-0.25443963710263495,0.19912557867429048,-0.3917610328673108,4.819583809638952,0.2576800341227156
validation,sell_steps_vs_hold_steps,bb_middle,technical_indicator,1489,111072,0.6573642575792086,0.6633904168655603,0.7984517293818552,0.7760937747750685,-0.006026159286351751,-0.004593397369417439
validation,sell_steps_vs_hold_steps,sma_20,technical_indicator,1489,111072,0.6573642575792086,0.6633904168655603,0.7984517293818552,0.7760937747750685,-0.006026159286351751,-0.004593397369417439
validation,sell_steps_vs_hold_steps,ema_20,technical_indicator,1489,111072,0.6888441586183655,0.6741625915828924,0.8465811634862067,0.8005823075435516,0.014681567035473075,0.011169908627614362
validation,sell_steps_vs_hold_steps,SPY_Close,macro_market,1489,111072,0.313522201354547,-0.0015656382204970003,0.06246204669237383,-0.017285487282477884,0.315087839575044,0.3055578863617642
validation,sell_steps_vs_hold_steps,Wheat_Close,macro_market,1489,111072,-0.042738104806962336,-0.009836323074419728,-0.04923417599547079,-0.07454389185840941,-0.03290178173254261,-0.032358528311163016
validation,sell_steps_vs_hold_steps,PC10,pca_feature,1489,111072,0.84223839183945,-0.07608737574901998,0.9895715878760808,-0.12753261143815706,0.9183257675884701,0.3185530115500191
validation,sell_steps_vs_hold_steps,macd_signal,technical_indicator,1489,111072,0.16835249795961257,-0.09048673729242304,0.18893988348182977,-0.07791440344289799,0.2588392352520356,0.2279343044399765
validation,sell_steps_vs_hold_steps,EUR_USD_Close,macro_market,1489,111072,-0.06232110946900146,0.006260703225014286,-0.4410698297760675,0.03163407520003838,-0.06858181269401575,-0.05722960852147406
validation,sell_steps_vs_hold_steps,sma_10,technical_indicator,1489,111072,0.6741814149198682,0.6512972893280831,0.7905110325852802,0.7575998676642443,0.0228841255917851,0.01794085982216754
validation,sell_steps_vs_hold_steps,bb_lower,technical_indicator,1489,111072,0.6087928657665408,0.6551847661077096,0.6961899072184955,0.7680281838033656,-0.0463919003411688,-0.03612077776404412
validation,sell_steps_vs_hold_steps,ema_10,technical_indicator,1489,111072,0.6943562213894503,0.6581563162511602,0.8419431777449825,0.7731254739369977,0.03619990513829008,0.02814704506833128
validation,sell_steps_vs_hold_steps,unrealized_gain_pct_norm,pnl_gain_path,1489,111072,0.5592735368657857,0.5739331072314537,0.6187678238599839,0.6017939348115808,-0.014659570365668007,-0.04955645258541011
validation,sell_steps_vs_hold_steps,USD_CNY_Close,macro_market,1489,111072,0.28657990644679715,0.01827457324839748,0.42525733365550134,0.03613858187509478,0.26830533319839966,0.25353749596144015
validation,sell_steps_vs_hold_steps,PC6,pca_feature,1489,111072,0.013711492412815338,0.10757374763260312,-0.6042497978920278,0.14115932640903853,-0.09386225521978778,-0.01998969144113489
validation,sell_steps_vs_hold_steps,PC3,pca_feature,1489,111072,-1.3338957712417723,-0.24374227492873227,-1.6890159068585617,-0.11148018643899435,-1.09015349631304,-0.15365840205973516
validation,sell_steps_vs_hold_steps,ema_5,technical_indicator,1489,111072,0.709306329572036,0.6442095531275467,0.8311016801486543,0.7501539149504793,0.0650967764444893,0.051154477601463334
validation,sell_steps_vs_hold_steps,sma_5,technical_indicator,1489,111072,0.6949096464176906,0.6400904959756741,0.8279022047398144,0.7431736839735474,0.05481915044201646,0.04314395477419749
validation,sell_steps_vs_hold_steps,Semiconductor_Close,macro_market,1489,111072,0.441116419017217,0.015077024078867957,0.14022521775011496,-0.014664258634343062,0.426039394938349,0.3595866436666619
validation,sell_steps_vs_hold_steps,PC9,pca_feature,1489,111072,-0.646421508761407,0.07840629549189804,-1.0504303289321524,-0.16336879797731377,-0.7248278042533051,-0.2743316790302939
validation,sell_steps_vs_hold_steps,PC2,pca_feature,1489,111072,-0.9999397971764381,-0.4911413074976974,-0.13846067331058376,-0.5002419481410437,-0.5087984896787408,-0.07341989451722136
test,first_sale_vs_pre_first_hold,VIX_Close,macro_market,704,75057,0.4799456844949647,-0.17743107017549173,0.012664193799058678,-0.4319792471486668,0.6573767546704564,0.5865691337989594
test,first_sale_vs_pre_first_hold,days_to_tax_transition_norm,tax_timing,704,75057,0.29050046699875465,0.4295043711984371,0.2671232876712329,0.4273972602739726,-0.13900390419968245,-0.618677349741829
test,first_sale_vs_pre_first_hold,PC8,pca_feature,704,75057,-1.1543590317280832,0.07435643133294988,-0.9655214346872355,0.07184401931996968,-1.228715463061033,-0.3290045205953114
test,first_sale_vs_pre_first_hold,macd,technical_indicator,704,75057,0.17623882533206323,0.4664474597679872,0.2898068118753089,0.4850962227933972,-0.29020863443592393,-0.26269545553268236
test,first_sale_vs_pre_first_hold,macd_hist,technical_indicator,704,75057,0.2781973222931012,0.5265115238195237,0.36263904564999216,0.5604859902838921,-0.24831420152642253,-0.22780809601496452
test,first_sale_vs_pre_first_hold,PC7,pca_feature,704,75057,-2.7851241968175056,0.17077591930301114,-0.3722736336767393,-0.10237786790375396,-2.9559001161205165,-0.7800564793258901
test,first_sale_vs_pre_first_hold,WTI_Close,macro_market,704,75057,-0.1557494420507017,0.0007616966603957915,-0.6486992558775323,0.03991161442982607,-0.1565111387110975,-0.14208729669683953
test,first_sale_vs_pre_first_hold,sma_50,technical_indicator,704,75057,1.2941419502033653,0.8642293126755367,1.515556644237236,0.999383580720678,0.4299126375278286,0.3313780441065427
test,first_sale_vs_pre_first_hold,rsi_14,technical_indicator,704,75057,0.10737432383947197,0.31488241045243054,0.09873863419326445,0.3271759120850808,-0.20750808661295855,-0.2093390257454188
test,first_sale_vs_pre_first_hold,PC5,pca_feature,704,75057,0.8287509432186607,0.3202162926228289,4.275322590830709,0.22554726694408264,0.5085346505958318,0.0712145343317472
test,first_sale_vs_pre_first_hold,PC4,pca_feature,704,75057,-4.921210887199989,-0.2810500239625232,-8.460915887809131,0.01919656186184232,-4.640160863237466,-0.5442227540095683
test,first_sale_vs_pre_first_hold,ema_50,technical_indicator,704,75057,1.3113746413441263,0.9100692029590465,1.5614366463526645,1.0663150245746658,0.4013054383850798,0.3078880294371718
test,first_sale_vs_pre_first_hold,Gold_Close,macro_market,704,75057,1.207137384734507,0.08548398965545904,1.5138538311372483,0.12490412758217855,1.121653395079048,0.7777045738830822
test,first_sale_vs_pre_first_hold,bb_upper,technical_indicator,704,75057,1.176263372829177,0.8960056722857552,1.431919093241072,1.006588544264596,0.2802577005434217,0.23034884248883894
test,first_sale_vs_pre_first_hold,USD_JPN_Close,macro_market,704,75057,0.33903069006753683,0.03798058442553538,0.035543132612075416,0.05768551244673744,0.30105010564200146,0.29408926375083166
test,first_sale_vs_pre_first_hold,PC1,pca_feature,704,75057,16.941434373656655,-0.0037163234692501376,-2.53615329548266,0.11696956095504998,16.945150697125904,0.5157971168638892
test,first_sale_vs_pre_first_hold,bb_middle,technical_indicator,704,75057,1.216240909754778,0.9289141217879596,1.4756353756348148,1.0413964279435521,0.2873267879668183,0.2365813309632876
test,first_sale_vs_pre_first_hold,sma_20,technical_indicator,704,75057,1.216240909754778,0.9289141217879596,1.4756353756348148,1.0413964279435521,0.2873267879668183,0.2365813309632876
test,first_sale_vs_pre_first_hold,ema_20,technical_indicator,704,75057,1.2366982461930087,0.9481654505165236,1.511699275788584,1.0756261462595258,0.28853279567648515,0.23650957162604125
test,first_sale_vs_pre_first_hold,SPY_Close,macro_market,704,75057,1.2198943012050818,0.008019120920048545,0.9282537392378234,0.04482513280666457,1.2118751802850332,0.5926758512394463
test,first_sale_vs_pre_first_hold,Wheat_Close,macro_market,704,75057,-0.0946194814362816,0.0008095606506575038,-0.4760559766413003,0.005752922063154813,-0.0954290420869391,-0.1102960391607602
test,first_sale_vs_pre_first_hold,PC10,pca_feature,704,75057,-0.24952524036322934,0.05286864061153573,0.7788441117978011,-0.021065558093987944,-0.30239388097476505,-0.08787080850551325
test,first_sale_vs_pre_first_hold,macd_signal,technical_indicator,704,75057,-0.2904511381267823,-0.06372315902797993,-0.3124678020799328,-0.0730068898594344,-0.22672797909880238,-0.19587306205013222
test,first_sale_vs_pre_first_hold,EUR_USD_Close,macro_market,704,75057,-0.2747605361635001,-0.0166638272333026,-0.3702357077001716,-0.05221617519436609,-0.2580967089301975,-0.2618473752929687
test,first_sale_vs_pre_first_hold,sma_10,technical_indicator,704,75057,1.1958865825580625,0.9347515693496329,1.469313772805629,1.0490506768716021,0.2611350132084296,0.2202408850606955
test,first_sale_vs_pre_first_hold,bb_lower,technical_indicator,704,75057,1.1544427518437195,0.8681407709690476,1.3237883867239537,0.9421384851529242,0.28630198087467185,0.23698811409812737
test,first_sale_vs_pre_first_hold,ema_10,technical_indicator,704,75057,1.1792753484946223,0.9445471119878369,1.4623739360504666,1.0664510281592243,0.23472823650678543,0.1967165908888541
test,first_sale_vs_pre_first_hold,unrealized_gain_pct_norm,pnl_gain_path,704,75057,0.6352196386221327,0.6344244765428738,0.6400183049106744,0.6397924671974874,0.0007951620792588932,0.0034258697170718917
test,first_sale_vs_pre_first_hold,USD_CNY_Close,macro_market,704,75057,0.046777615346964695,-0.08039913964463222,0.10964844736924234,-0.022387373173663887,0.12717675499159692,0.128873048668839
test,first_sale_vs_pre_first_hold,PC6,pca_feature,704,75057,-0.05178564946962623,-0.2582783389410129,-4.22673929061611,-0.3758363728858464,0.20649268947138666,0.03506003408646994
test,first_sale_vs_pre_first_hold,PC3,pca_feature,704,75057,1.1416808693845846,-0.14788002663779154,0.21726708621767235,-0.12583659678685888,1.2895608960223761,0.23829649187087587
test,first_sale_vs_pre_first_hold,ema_5,technical_indicator,704,75057,1.1336228453745782,0.9357534562909157,1.3959585719251981,1.05377846807038,0.19786938908366258,0.16724346834273363
